# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -320.00000000 ps, Average over 40 waveforms. Timestamp: 2021-08-03T12:23:05
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-320.00000246	-0.00008912
-319.96666913	-0.00000846
-319.93333580	-0.00014616
-319.90000246	0.00000843
-319.86666913	0.00015404
-319.83333580	0.00007780
-319.80000246	0.00012993
-319.76666913	-0.00017817
-319.73333580	-0.00005152
-319.70000246	0.00024386
-319.66666913	-0.00023706
-319.63333580	-0.00005143
-319.60000246	0.00008178
-319.56666913	-0.00008570
-319.53333579	0.00018865
-319.50000246	-0.00003829
-319.46666913	-0.00003045
-319.43333579	0.00005552
-319.40000246	-0.00030867
-319.36666913	0.00000250
-319.33333579	0.00004727
-319.30000246	0.00024215
-319.26666913	-0.00003132
-319.23333579	-0.00004730
-319.20000246	-0.00013517
-319.16666913	-0.00008494
-319.13333579	-0.00005769
-319.10000246	0.00024919
-319.06666913	0.00010032
-319.03333579	0.00015865
-319.00000246	0.00023228
-318.96666912	-0.00006700
-318.93333579	-0.00004591
-318.90000246	-0.00020039
-318.86666912	0.00015083
-318.83333579	0.00005766
-318.80000246	0.00041274
-318.76666912	0.00004312
-318.73333579	0.00019389
-318.70000246	-0.00027414
-318.66666912	-0.00010999
-318.63333579	-0.00019412
-318.60000246	0.00014730
-318.56666912	0.00002791
-318.53333579	0.00013148
-318.50000246	0.00019806
-318.46666912	-0.00019550
-318.43333579	-0.00007611
-318.40000245	0.00013063
-318.36666912	0.00005144
-318.33333579	-0.00033203
-318.30000245	-0.00010825
-318.26666912	0.00016110
-318.23333579	0.00000835
-318.20000245	0.00003912
-318.16666912	0.00018098
-318.13333579	-0.00020692
-318.10000245	-0.00029310
-318.06666912	-0.00005895
-318.03333579	-0.00025008
-318.00000245	0.00000671
-317.96666912	-0.00010522
-317.93333579	0.00007032
-317.90000245	0.00002781
-317.86666912	-0.00006198
-317.83333578	0.00027607
-317.80000245	-0.00029428
-317.76666912	-0.00004259
-317.73333578	0.00005147
-317.70000245	-0.00001416
-317.66666912	-0.00001443
-317.63333578	-0.00003188
-317.60000245	0.00011780
-317.56666912	0.00001768
-317.53333578	0.00023137
-317.50000245	0.00015524
-317.46666912	-0.00013365
-317.43333578	-0.00005080
-317.40000245	0.00015595
-317.36666911	-0.00006844
-317.33333578	-0.00021077
-317.30000245	0.00011193
-317.26666911	0.00009867
-317.23333578	0.00019516
-317.20000245	-0.00014418
-317.16666911	-0.00024531
-317.13333578	0.00015695
-317.10000245	-0.00030199
-317.06666911	0.00033939
-317.03333578	0.00014152
-317.00000245	0.00016548
-316.96666911	-0.00002811
-316.93333578	0.00026329
-316.90000245	0.00033306
-316.86666911	0.00007787
-316.83333578	0.00033962
-316.80000244	0.00006500
-316.76666911	-0.00014958
-316.73333578	0.00026240
-316.70000244	0.00005766
-316.66666911	0.00006977
-316.63333578	0.00021129
-316.60000244	0.00006411
-316.56666911	0.00036075
-316.53333578	0.00021627
-316.50000244	0.00015744
-316.46666911	-0.00033247
-316.43333578	0.00025339
-316.40000244	0.00009920
-316.36666911	0.00029544
-316.33333578	-0.00015293
-316.30000244	0.00006868
-316.26666911	0.00022399
-316.23333577	0.00034765
-316.20000244	0.00019494
-316.16666911	0.00028418
-316.13333577	-0.00006605
-316.10000244	0.00026384
-316.06666911	0.00032490
-316.03333577	-0.00002469
-316.00000244	0.00055956
-315.96666911	0.00047434
-315.93333577	0.00015923
-315.90000244	-0.00004735
-315.86666911	0.00034192
-315.83333577	0.00017719
-315.80000244	0.00004647
-315.76666910	0.00020304
-315.73333577	0.00043190
-315.70000244	0.00024145
-315.66666910	0.00033376
-315.63333577	0.00017976
-315.60000244	0.00040535
-315.56666910	0.00024646
-315.53333577	0.00033655
-315.50000244	0.00040748
-315.46666910	0.00039981
-315.43333577	0.00025733
-315.40000244	-0.00002611
-315.36666910	0.00030524
-315.33333577	0.00025564
-315.30000244	-0.00000822
-315.26666910	-0.00017771
-315.23333577	0.00030473
-315.20000243	-0.00004352
-315.16666910	0.00017996
-315.13333577	0.00028638
-315.10000243	0.00005020
-315.06666910	-0.00018350
-315.03333577	0.00009676
-315.00000243	0.00034374
-314.96666910	-0.00016155
-314.93333577	0.00023306
-314.90000243	0.00012835
-314.86666910	-0.00042410
-314.83333577	-0.00002198
-314.80000243	-0.00006663
-314.76666910	0.00026363
-314.73333577	0.00011226
-314.70000243	0.00005990
-314.66666910	-0.00012128
-314.63333576	0.00002758
-314.60000243	-0.00022220
-314.56666910	-0.00009346
-314.53333576	0.00009296
-314.50000243	-0.00018515
-314.46666910	0.00008896
-314.43333576	0.00006265
-314.40000243	-0.00022106
-314.36666910	0.00003173
-314.33333576	0.00060015
-314.30000243	0.00005424
-314.26666910	0.00010896
-314.23333576	0.00012604
-314.20000243	-0.00000733
-314.16666910	0.00036765
-314.13333576	-0.00006759
-314.10000243	0.00003930
-314.06666909	0.00009948
-314.03333576	0.00023883
-314.00000243	0.00026770
-313.96666909	0.00024876
-313.93333576	0.00016658
-313.90000243	0.00009184
-313.86666909	0.00036771
