# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -320.00000000 ps, Average over 1 waveforms. Timestamp: 2021-08-18T14:33:13
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-320.00000120	0.00095536
-319.96666787	0.00068654
-319.93333453	0.00193344
-319.90000120	0.00147010
-319.86666787	-0.00135769
-319.83333453	-0.00027606
-319.80000120	-0.00119462
-319.76666787	-0.00129931
-319.73333453	-0.00015492
-319.70000120	0.00033597
-319.66666787	0.00196383
-319.63333453	-0.00061086
-319.60000120	0.00013273
-319.56666787	0.00047344
-319.53333453	0.00024674
-319.50000120	-0.00071910
-319.46666787	0.00103121
-319.43333453	-0.00049794
-319.40000120	-0.00154754
-319.36666787	-0.00232765
-319.33333453	-0.00125954
-319.30000120	0.00022132
-319.26666787	0.00007884
-319.23333453	-0.00008335
-319.20000120	-0.00048543
-319.16666787	0.00015238
-319.13333453	0.00142029
-319.10000120	-0.00000466
-319.06666786	0.00071646
-319.03333453	-0.00032951
-319.00000120	0.00104116
-318.96666786	-0.00131656
-318.93333453	-0.00168683
-318.90000120	-0.00200582
-318.86666786	-0.00149156
-318.83333453	-0.00058062
-318.80000120	-0.00368449
-318.76666786	-0.00140728
-318.73333453	-0.00176664
-318.70000120	-0.00062825
-318.66666786	-0.00064047
-318.63333453	-0.00127847
-318.60000120	-0.00035407
-318.56666786	-0.00272793
-318.53333453	-0.00124921
-318.50000120	-0.00096658
-318.46666786	-0.00088136
-318.43333453	-0.00176699
-318.40000120	-0.00055739
-318.36666786	-0.00018998
-318.33333453	-0.00335274
-318.30000120	0.00018748
-318.26666786	-0.00006802
-318.23333453	-0.00013694
-318.20000120	-0.00177125
-318.16666786	-0.00080358
-318.13333453	-0.00080476
-318.10000120	-0.00119641
-318.06666786	-0.00192722
-318.03333453	-0.00120375
-318.00000119	-0.00112208
-317.96666786	-0.00123208
-317.93333453	-0.00000566
-317.90000119	-0.00105529
-317.86666786	0.00006159
-317.83333453	0.00142263
-317.80000119	-0.00099775
-317.76666786	-0.00024512
-317.73333453	-0.00079079
-317.70000119	-0.00088196
-317.66666786	-0.00097404
-317.63333453	0.00111795
-317.60000119	0.00118422
-317.56666786	-0.00008159
-317.53333453	0.00044176
-317.50000119	-0.00223453
-317.46666786	0.00146895
-317.43333453	0.00073559
-317.40000119	0.00110662
-317.36666786	0.00087272
-317.33333453	0.00070190
-317.30000119	-0.00056740
-317.26666786	0.00016433
-317.23333453	-0.00032586
-317.20000119	0.00091980
-317.16666786	0.00211096
-317.13333453	-0.00000557
-317.10000119	0.00129194
-317.06666786	-0.00144049
-317.03333453	0.00206866
-317.00000119	-0.00038061
-316.96666786	-0.00144934
-316.93333453	-0.00049756
-316.90000119	-0.00088065
-316.86666786	-0.00104569
-316.83333452	-0.00114095
-316.80000119	-0.00177156
-316.76666786	-0.00024180
-316.73333452	0.00014501
-316.70000119	-0.00098383
-316.66666786	-0.00097324
-316.63333452	-0.00040925
-316.60000119	-0.00048380
-316.56666786	-0.00128594
-316.53333452	0.00047884
-316.50000119	0.00023063
-316.46666786	-0.00137126
-316.43333452	-0.00232848
-316.40000119	0.00086356
-316.36666786	0.00073609
-316.33333452	-0.00103670
-316.30000119	-0.00014387
-316.26666786	0.00014820
-316.23333452	-0.00144814
-316.20000119	-0.00016902
-316.16666786	-0.00160711
-316.13333452	-0.00032383
-316.10000119	-0.00207015
-316.06666786	-0.00112659
-316.03333452	-0.00241459
-316.00000119	-0.00121678
-315.96666786	-0.00105838
-315.93333452	-0.00182696
-315.90000119	-0.00040522
-315.86666786	-0.00165427
-315.83333452	-0.00192789
-315.80000119	-0.00184718
-315.76666785	-0.00128836
-315.73333452	-0.00235808
-315.70000119	-0.00244431
-315.66666785	0.00031827
-315.63333452	-0.00192494
-315.60000119	-0.00076030
-315.56666785	-0.00142432
-315.53333452	-0.00112575
-315.50000119	-0.00144699
-315.46666785	-0.00152970
-315.43333452	-0.00304826
-315.40000119	-0.00119183
-315.36666785	-0.00036726
-315.33333452	-0.00246669
-315.30000119	-0.00151670
-315.26666785	0.00087737
-315.23333452	-0.00105077
-315.20000119	-0.00153245
-315.16666785	-0.00073692
-315.13333452	-0.00114163
-315.10000119	-0.00212904
-315.06666785	0.00035192
-315.03333452	0.00009784
-315.00000119	-0.00256435
-314.96666785	-0.00079043
-314.93333452	-0.00144056
-314.90000119	-0.00102375
-314.86666785	0.00015464
-314.83333452	-0.00098368
-314.80000119	-0.00137096
-314.76666785	-0.00045714
-314.73333452	-0.00019922
-314.70000119	-0.00344749
-314.66666785	-0.00159019
-314.63333452	-0.00186460
-314.60000118	0.00052603
-314.56666785	-0.00116972
-314.53333452	-0.00306809
-314.50000118	-0.00096486
-314.46666785	-0.00304832
-314.43333452	-0.00054052
-314.40000118	-0.00142031
-314.36666785	-0.00137980
-314.33333452	-0.00060026
-314.30000118	-0.00233178
-314.26666785	-0.00114522
-314.23333452	-0.00020160
-314.20000118	-0.00613232
-314.16666785	-0.00253880
-314.13333452	-0.00116524
-314.10000118	-0.00375216
-314.06666785	-0.00219773
-314.03333452	-0.00135925
-314.00000118	-0.00142683
-313.96666785	-0.00254436
-313.93333452	-0.00230979
-313.90000118	-0.00104560
-313.86666785	-0.00192812
-313.83333452	-0.00129548
-313.80000118	-0.00052185
-313.76666785	-0.00225193
-313.73333452	-0.00112306
-313.70000118	-0.00213546
-313.66666785	0.00031562
-313.63333452	-0.00218855
-313.60000118	-0.00022473
-313.56666785	-0.00088675
-313.53333451	-0.00171874
-313.50000118	-0.00282385
-313.46666785	-0.00257795
-313.43333451	-0.00003326
-313.40000118	-0.00043553
-313.36666785	-0.00240751
-313.33333451	-0.00090984
-313.30000118	-0.00160605
-313.26666785	-0.00166995
-313.23333451	-0.00123483
-313.20000118	-0.00224619
-313.16666785	-0.00131613
-313.13333451	-0.00127240
-313.10000118	-0.00063561
-313.06666785	-0.00313867
-313.03333451	-0.00163415
-313.00000118	-0.00156469
-312.96666785	-0.00157842
-312.93333451	0.00046576
-312.90000118	-0.00093650
-312.86666785	-0.00190567
-312.83333451	0.00060587
-312.80000118	-0.00061905
-312.76666785	-0.00328633
-312.73333451	-0.00038275
-312.70000118	-0.00140704
-312.66666785	-0.00194045
-312.63333451	-0.00127815
-312.60000118	-0.00233285
-312.56666785	0.00031508
-312.53333451	-0.00217799
-312.50000118	-0.00127650
-312.46666784	-0.00119295
-312.43333451	0.00015612
-312.40000118	-0.00154389
-312.36666784	-0.00243577
-312.33333451	-0.00019093
-312.30000118	0.00026888
-312.26666784	-0.00290060
-312.23333451	-0.00283896
-312.20000118	-0.00048437
-312.16666784	-0.00209507
-312.13333451	-0.00085456
-312.10000118	-0.00059883
-312.06666784	0.00047439
-312.03333451	-0.00068562
-312.00000118	-0.00112101
-311.96666784	-0.00128490
-311.93333451	-0.00114867
-311.90000118	-0.00211845
-311.86666784	-0.00270585
-311.83333451	-0.00344732
-311.80000118	-0.00273628
-311.76666784	-0.00215289
-311.73333451	-0.00152504
