# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -320.00000000 ps, Average over 1 waveforms. Timestamp: 2021-08-18T14:33:39
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-320.00000120	0.00090676
-319.96666787	-0.00082829
-319.93333453	0.00114425
-319.90000120	-0.00045193
-319.86666787	0.00079572
-319.83333453	0.00050665
-319.80000120	0.00040804
-319.76666787	-0.00245877
-319.73333453	-0.00003809
-319.70000120	-0.00005560
-319.66666787	0.00009438
-319.63333453	-0.00053466
-319.60000120	0.00018045
-319.56666787	-0.00012089
-319.53333453	-0.00021096
-319.50000120	0.00105627
-319.46666787	0.00062270
-319.43333453	-0.00261635
-319.40000120	0.00022180
-319.36666787	-0.00037001
-319.33333453	-0.00019596
-319.30000120	0.00258259
-319.26666787	0.00082396
-319.23333453	0.00074399
-319.20000120	-0.00057757
-319.16666787	-0.00189525
-319.13333453	-0.00115788
-319.10000120	-0.00052893
-319.06666786	0.00195357
-319.03333453	-0.00019773
-319.00000120	0.00179557
-318.96666786	0.00098291
-318.93333453	-0.00092999
-318.90000120	-0.00142806
-318.86666786	0.00018307
-318.83333453	-0.00109174
-318.80000120	0.00130514
-318.76666786	0.00195824
-318.73333453	0.00073386
-318.70000120	0.00026209
-318.66666786	0.00114702
-318.63333453	0.00011138
-318.60000120	-0.00037977
-318.56666786	-0.00033715
-318.53333453	0.00129422
-318.50000120	0.00028707
-318.46666786	0.00003148
-318.43333453	-0.00085438
-318.40000120	-0.00077736
-318.36666786	-0.00166179
-318.33333453	-0.00149177
-318.30000120	-0.00149264
-318.26666786	-0.00080049
-318.23333453	0.00042169
-318.20000120	-0.00072672
-318.16666786	-0.00187820
-318.13333453	0.00075799
-318.10000120	0.00034646
-318.06666786	0.00023950
-318.03333453	-0.00084920
-318.00000119	0.00020199
-317.96666786	-0.00086319
-317.93333453	0.00226091
-317.90000119	-0.00141154
-317.86666786	0.00110002
-317.83333453	0.00011491
-317.80000119	0.00005174
-317.76666786	0.00200876
-317.73333453	-0.00061573
-317.70000119	0.00046859
-317.66666786	0.00082151
-317.63333453	0.00083981
-317.60000119	-0.00117505
-317.56666786	0.00067204
-317.53333453	0.00034766
-317.50000119	0.00098477
-317.46666786	-0.00011283
-317.43333453	0.00060452
-317.40000119	0.00234630
-317.36666786	0.00082232
-317.33333453	0.00154789
-317.30000119	0.00154328
-317.26666786	0.00259108
-317.23333453	0.00186663
-317.20000119	0.00193976
-317.16666786	-0.00100171
-317.13333453	-0.00004421
-317.10000119	-0.00037597
-317.06666786	0.00105922
-317.03333453	0.00026626
-317.00000119	0.00173539
-316.96666786	0.00215942
-316.93333453	0.00078338
-316.90000119	0.00065591
-316.86666786	0.00106702
-316.83333452	0.00026478
-316.80000119	-0.00101126
-316.76666786	0.00035609
-316.73333452	0.00004036
-316.70000119	0.00140174
-316.66666786	0.00059277
-316.63333452	0.00043675
-316.60000119	0.00042268
-316.56666786	0.00186897
-316.53333452	-0.00020955
-316.50000119	0.00081285
-316.46666786	0.00198685
-316.43333452	-0.00032120
-316.40000119	0.00125319
-316.36666786	0.00232268
-316.33333452	-0.00061871
-316.30000119	0.00106655
-316.26666786	-0.00061194
-316.23333452	0.00074081
-316.20000119	-0.00082558
-316.16666786	0.00139120
-316.13333452	-0.00067600
-316.10000119	0.00037020
-316.06666786	-0.00173204
-316.03333452	0.00050714
-316.00000119	-0.00027679
-315.96666786	0.00026198
-315.93333452	0.00042114
-315.90000119	0.00020589
-315.86666786	0.00154419
-315.83333452	0.00098041
-315.80000119	-0.00051423
-315.76666785	0.00154113
-315.73333452	-0.00061179
-315.70000119	0.00090741
-315.66666785	-0.00029336
-315.63333452	0.00098064
-315.60000119	-0.00100624
-315.56666785	0.00057414
-315.53333452	-0.00098119
-315.50000119	-0.00083016
-315.46666785	-0.00005330
-315.43333452	-0.00028560
-315.40000119	0.00033839
-315.36666785	-0.00035951
-315.33333452	0.00183642
-315.30000119	0.00065243
-315.26666785	0.00002628
-315.23333452	0.00002409
-315.20000119	0.00011366
-315.16666785	-0.00104369
-315.13333452	-0.00225564
-315.10000119	0.00001138
-315.06666785	-0.00032876
-315.03333452	-0.00215002
-315.00000119	-0.00005881
-314.96666785	-0.00056643
-314.93333452	-0.00084507
-314.90000119	0.00018598
-314.86666785	-0.00053763
-314.83333452	0.00010727
-314.80000119	-0.00029176
-314.76666785	0.00009349
-314.73333452	0.00026004
-314.70000119	0.00082544
-314.66666785	0.00026483
-314.63333452	0.00082574
-314.60000118	0.00002640
-314.56666785	0.00038439
-314.53333452	-0.00126359
-314.50000118	0.00012004
-314.46666785	-0.00245146
-314.43333452	-0.00109257
-314.40000118	-0.00222526
-314.36666785	-0.00068588
-314.33333452	-0.00214828
-314.30000118	0.00213312
-314.26666785	0.00073704
-314.23333452	0.00005973
-314.20000118	-0.00099506
-314.16666785	0.00081896
-314.13333452	-0.00155328
-314.10000118	-0.00163775
-314.06666785	-0.00353271
-314.03333452	-0.00006422
-314.00000118	-0.00077576
-313.96666785	0.00089208
-313.93333452	-0.00100522
-313.90000118	-0.00134448
-313.86666785	0.00034425
-313.83333452	-0.00122732
-313.80000118	-0.00203215
-313.76666785	-0.00111282
-313.73333452	-0.00307422
-313.70000118	-0.00151929
-313.66666785	-0.00029150
-313.63333452	-0.00123258
-313.60000118	0.00068270
-313.56666785	-0.00046675
-313.53333451	-0.00108300
-313.50000118	-0.00026726
-313.46666785	0.00055804
-313.43333451	0.00066759
-313.40000118	-0.00125529
-313.36666785	0.00043244
-313.33333451	-0.00052605
-313.30000118	0.00020551
-313.26666785	0.00080659
-313.23333451	-0.00056048
-313.20000118	-0.00086740
-313.16666785	0.00150686
-313.13333451	0.00061167
-313.10000118	-0.00060973
-313.06666785	0.00089516
-313.03333451	-0.00005044
-313.00000118	-0.00020557
-312.96666785	0.00025545
-312.93333451	-0.00053394
-312.90000118	0.00008819
-312.86666785	0.00028473
-312.83333451	0.00091893
-312.80000118	-0.00069457
-312.76666785	0.00156699
-312.73333451	0.00085404
-312.70000118	-0.00039871
-312.66666785	0.00250568
-312.63333451	0.00023887
-312.60000118	0.00147438
-312.56666785	0.00040215
-312.53333451	-0.00023729
-312.50000118	0.00097819
-312.46666784	0.00007291
-312.43333451	-0.00010105
-312.40000118	0.00114848
-312.36666784	0.00010948
-312.33333451	0.00091173
-312.30000118	0.00053063
-312.26666784	0.00134798
-312.23333451	-0.00188930
-312.20000118	0.00103496
-312.16666784	0.00057310
-312.13333451	0.00073858
-312.10000118	0.00030795
-312.06666784	-0.00076646
-312.03333451	-0.00155592
-312.00000118	-0.00074729
-311.96666784	-0.00253256
-311.93333451	0.00070020
-311.90000118	0.00256713
-311.86666784	0.00048074
-311.83333451	-0.00007141
-311.80000118	0.00026804
-311.76666784	-0.00021208
-311.73333451	0.00092594
-311.70000118	0.00148369
-311.66666784	-0.00175407
-311.63333451	0.00019510
-311.60000118	-0.00045116
-311.56666784	0.00048286
-311.53333451	0.00026730
-311.50000118	0.00045261
-311.46666784	0.00122506
-311.43333451	-0.00034853
-311.40000118	-0.00036822
-311.36666784	0.00033780
-311.33333451	-0.00003341
-311.30000117	0.00157583
-311.26666784	-0.00205505
-311.23333451	-0.00147015
-311.20000117	-0.00094321
-311.16666784	-0.00038738
-311.13333451	-0.00264294
-311.10000117	-0.00159329
-311.06666784	-0.00131868
-311.03333451	-0.00136169
-311.00000117	0.00034371
-310.96666784	-0.00086916
-310.93333451	-0.00135954
-310.90000117	0.00038815
-310.86666784	0.00178590
-310.83333451	0.00025703
-310.80000117	-0.00068461
-310.76666784	0.00180035
-310.73333451	-0.00105428
-310.70000117	0.00048734
-310.66666784	0.00090472
-310.63333451	0.00075654
-310.60000117	-0.00108833
-310.56666784	0.00042642
-310.53333451	-0.00143550
-310.50000117	-0.00076514
-310.46666784	0.00010504
-310.43333451	-0.00086770
-310.40000117	-0.00165223
-310.36666784	-0.00101903
-310.33333451	-0.00214201
-310.30000117	-0.00109148
-310.26666784	-0.00190194
-310.23333450	-0.00270949
-310.20000117	0.00002393
-310.16666784	-0.00157132
-310.13333450	-0.00022172
-310.10000117	-0.00109442
-310.06666784	0.00003482
-310.03333450	-0.00069802
-310.00000117	0.00027264
-309.96666784	0.00082962
-309.93333450	-0.00050701
-309.90000117	-0.00149388
-309.86666784	-0.00035167
-309.83333450	0.00074689
-309.80000117	-0.00055447
-309.76666784	0.00020780
-309.73333450	-0.00013353
-309.70000117	-0.00157877
-309.66666784	0.00143964
-309.63333450	-0.00014409
-309.60000117	0.00073397
-309.56666784	0.00090437
-309.53333450	0.00062088
-309.50000117	-0.00038345
-309.46666784	0.00001397
-309.43333450	0.00009151
-309.40000117	0.00114747
-309.36666784	0.00057655
-309.33333450	0.00194799
-309.30000117	0.00021481
-309.26666784	0.00009070
-309.23333450	0.00124713
-309.20000117	0.00129385
-309.16666784	0.00171489
-309.13333450	0.00082863
-309.10000117	0.00022736
-309.06666783	-0.00198371
-309.03333450	0.00067457
-309.00000117	-0.00067301
-308.96666783	-0.00143262
-308.93333450	0.00086439
-308.90000117	-0.00002467
-308.86666783	0.00025322
-308.83333450	0.00058718
-308.80000117	-0.00030398
-308.76666783	-0.00032301
-308.73333450	0.00039926
-308.70000117	-0.00093022
-308.66666783	0.00018546
-308.63333450	-0.00103658
-308.60000117	0.00134883
-308.56666783	0.00057631
-308.53333450	-0.00151379
-308.50000117	0.00168966
-308.46666783	0.00084049
-308.43333450	0.00082815
-308.40000117	0.00163205
-308.36666783	0.00152670
-308.33333450	-0.00006150
-308.30000117	0.00067942
-308.26666783	0.00053122
-308.23333450	0.00019732
-308.20000117	0.00098552
-308.16666783	0.00043417
-308.13333450	0.00153945
-308.10000117	0.00068642
-308.06666783	0.00124282
-308.03333450	0.00170536
-308.00000116	0.00130659
-307.96666783	0.00130444
-307.93333450	0.00082380
-307.90000116	0.00260165
-307.86666783	-0.00115726
-307.83333450	0.00126094
-307.80000116	0.00081331
-307.76666783	0.00081321
-307.73333450	-0.00061402
-307.70000116	0.00137243
-307.66666783	0.00182474
-307.63333450	0.00050171
-307.60000116	0.00129850
-307.56666783	0.00050632
-307.53333450	0.00081119
-307.50000116	0.00112449
-307.46666783	-0.00166495
-307.43333450	-0.00045798
-307.40000116	-0.00108499
-307.36666783	0.00060442
-307.33333450	0.00059236
-307.30000116	-0.00049876
-307.26666783	-0.00116921
-307.23333450	0.00033562
-307.20000116	-0.00074019
-307.16666783	-0.00293195
-307.13333450	-0.00251840
-307.10000116	-0.00245659
-307.06666783	-0.00299974
-307.03333450	-0.00308409
-307.00000116	-0.00157373
-306.96666783	-0.00326367
-306.93333449	-0.00389075
-306.90000116	-0.00349703
-306.86666783	-0.00348751
-306.83333449	-0.00246221
-306.80000116	-0.00104555
-306.76666783	-0.00147077
-306.73333449	-0.00374633
-306.70000116	-0.00294986
-306.66666783	-0.00301761
-306.63333449	-0.00215275
-306.60000116	-0.00354119
-306.56666783	-0.00085171
-306.53333449	-0.00216003
-306.50000116	-0.00177738
-306.46666783	0.00066624
-306.43333449	-0.00031328
-306.40000116	-0.00061626
-306.36666783	-0.00053745
-306.33333449	0.00008516
-306.30000116	0.00065890
-306.26666783	-0.00006760
-306.23333449	0.00129934
-306.20000116	0.00043044
-306.16666783	-0.00006084
-306.13333449	-0.00083072
-306.10000116	0.00170195
-306.06666783	-0.00032724
-306.03333449	0.00103949
-306.00000116	0.00115648
-305.96666783	0.00113565
-305.93333449	0.00370931
-305.90000116	0.00162138
-305.86666783	0.00170667
-305.83333449	0.00098733
-305.80000116	0.00187483
-305.76666782	0.00137226
-305.73333449	0.00096662
-305.70000116	0.00149875
-305.66666782	-0.00057527
-305.63333449	-0.00064939
-305.60000116	0.00187743
-305.56666782	0.00040615
-305.53333449	0.00033074
-305.50000116	-0.00152099
-305.46666782	-0.00091330
-305.43333449	0.00205734
-305.40000116	-0.00094173
-305.36666782	0.00106918
-305.33333449	-0.00061167
-305.30000116	0.00010148
-305.26666782	-0.00047742
-305.23333449	-0.00009917
-305.20000116	0.00081936
-305.16666782	0.00099851
-305.13333449	0.00234132
-305.10000116	-0.00117195
-305.06666782	0.00168025
