# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -320.00000000 ps, Average over 5 waveforms. Timestamp: 2021-08-03T15:32:10
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-320.00000245	-0.00016578
-319.96666912	0.00011467
-319.93333578	-0.00084235
-319.90000245	0.00046421
-319.86666912	0.00055508
-319.83333578	-0.00042321
-319.80000245	-0.00053750
-319.76666912	-0.00036905
-319.73333578	0.00047381
-319.70000245	-0.00072994
-319.66666912	0.00005524
-319.63333578	-0.00027687
-319.60000245	0.00013549
-319.56666912	0.00050182
-319.53333578	0.00036361
-319.50000245	0.00027782
-319.46666912	-0.00037349
-319.43333578	0.00038203
-319.40000245	0.00019910
-319.36666911	0.00065027
-319.33333578	-0.00004444
-319.30000245	0.00079431
-319.26666911	0.00013872
-319.23333578	-0.00000764
-319.20000245	-0.00079124
-319.16666911	-0.00027406
-319.13333578	0.00064466
-319.10000245	0.00016063
-319.06666911	-0.00107591
-319.03333578	-0.00005238
-319.00000245	0.00085364
-318.96666911	0.00087274
-318.93333578	0.00036699
-318.90000245	0.00057656
-318.86666911	0.00072103
-318.83333578	0.00106486
-318.80000244	0.00067250
-318.76666911	0.00061790
-318.73333578	0.00103477
-318.70000244	-0.00031959
-318.66666911	0.00062542
-318.63333578	0.00051521
-318.60000244	0.00132047
-318.56666911	0.00158544
-318.53333578	0.00075669
-318.50000244	0.00043930
-318.46666911	0.00014310
-318.43333578	0.00101474
-318.40000244	0.00090420
-318.36666911	0.00056489
-318.33333578	0.00051347
-318.30000244	-0.00049267
-318.26666911	-0.00016381
-318.23333577	-0.00030254
-318.20000244	-0.00069116
-318.16666911	-0.00002211
-318.13333577	-0.00076300
-318.10000244	-0.00023418
-318.06666911	0.00044671
-318.03333577	0.00042435
-318.00000244	-0.00051779
-317.96666911	-0.00034677
-317.93333577	0.00012199
-317.90000244	0.00033299
-317.86666911	0.00030534
-317.83333577	-0.00018155
-317.80000244	-0.00003483
-317.76666910	0.00055515
-317.73333577	-0.00010280
-317.70000244	-0.00021026
-317.66666910	0.00000247
-317.63333577	0.00021505
-317.60000244	0.00034843
-317.56666910	0.00020281
-317.53333577	0.00050207
-317.50000244	-0.00003307
-317.46666910	-0.00007901
-317.43333577	0.00007658
-317.40000244	-0.00096087
-317.36666910	-0.00013986
-317.33333577	0.00037175
-317.30000244	-0.00031960
-317.26666910	0.00031474
-317.23333577	0.00002806
-317.20000243	-0.00030479
-317.16666910	0.00098615
-317.13333577	-0.00006479
-317.10000243	-0.00064798
-317.06666910	-0.00051346
-317.03333577	0.00045974
-317.00000243	-0.00054504
-316.96666910	0.00015618
-316.93333577	0.00020448
-316.90000243	0.00005994
-316.86666910	-0.00020167
-316.83333577	-0.00117788
-316.80000243	-0.00075628
-316.76666910	-0.00074968
-316.73333577	-0.00051499
-316.70000243	-0.00046140
-316.66666910	-0.00038501
-316.63333576	0.00011338
-316.60000243	-0.00115941
-316.56666910	-0.00042109
-316.53333576	-0.00084331
-316.50000243	0.00015766
-316.46666910	0.00004532
-316.43333576	-0.00017863
-316.40000243	-0.00014781
-316.36666910	-0.00072210
-316.33333576	-0.00080728
-316.30000243	-0.00058200
-316.26666910	-0.00023105
-316.23333576	-0.00048464
-316.20000243	-0.00043050
-316.16666910	-0.00051427
-316.13333576	0.00051439
-316.10000243	-0.00026046
-316.06666909	-0.00130476
-316.03333576	-0.00074960
-316.00000243	0.00039980
-315.96666909	-0.00132826
-315.93333576	-0.00066545
-315.90000243	-0.00091998
-315.86666909	-0.00042248
-315.83333576	-0.00092774
-315.80000243	-0.00103321
-315.76666909	-0.00014715
-315.73333576	-0.00053801
-315.70000243	-0.00155807
-315.66666909	-0.00099972
-315.63333576	-0.00152381
-315.60000242	-0.00101892
-315.56666909	-0.00078740
-315.53333576	-0.00033369
-315.50000242	-0.00064319
-315.46666909	-0.00044296
-315.43333576	-0.00086169
-315.40000242	-0.00016340
-315.36666909	-0.00004339
-315.33333576	-0.00045428
-315.30000242	-0.00102507
-315.26666909	-0.00046079
-315.23333576	-0.00070536
-315.20000242	-0.00025319
-315.16666909	0.00025539
-315.13333576	-0.00039299
-315.10000242	0.00004277
-315.06666909	-0.00093963
-315.03333575	-0.00040469
-315.00000242	-0.00091909
-314.96666909	-0.00036934
-314.93333575	-0.00094927
-314.90000242	-0.00035567
-314.86666909	0.00010833
-314.83333575	-0.00052573
-314.80000242	-0.00115694
-314.76666909	0.00001199
-314.73333575	-0.00073671
-314.70000242	-0.00073982
-314.66666909	-0.00069810
-314.63333575	-0.00034222
-314.60000242	-0.00024525
-314.56666909	-0.00098355
-314.53333575	-0.00065474
-314.50000242	-0.00127264
-314.46666908	-0.00028719
-314.43333575	-0.00022197
-314.40000242	-0.00123187
-314.36666908	-0.00093251
-314.33333575	-0.00072880
-314.30000242	-0.00049520
-314.26666908	-0.00047808
-314.23333575	-0.00040355
-314.20000242	-0.00045529
-314.16666908	-0.00066287
-314.13333575	0.00002766
-314.10000242	0.00024124
-314.06666908	-0.00072340
-314.03333575	-0.00069211
-314.00000242	-0.00053047
-313.96666908	0.00008807
-313.93333575	-0.00042789
-313.90000241	0.00043085
-313.86666908	0.00019757
-313.83333575	0.00016344
-313.80000241	-0.00012023
-313.76666908	-0.00043063
-313.73333575	-0.00011788
-313.70000241	-0.00015914
-313.66666908	-0.00066737
-313.63333575	0.00006935
-313.60000241	-0.00082653
-313.56666908	0.00001836
-313.53333575	-0.00010573
-313.50000241	-0.00069973
-313.46666908	-0.00041207
-313.43333575	-0.00066964
-313.40000241	-0.00033836
-313.36666908	-0.00069035
-313.33333574	-0.00106174
-313.30000241	-0.00071127
-313.26666908	-0.00089363
-313.23333574	-0.00124764
-313.20000241	0.00069748
-313.16666908	-0.00032485
-313.13333574	-0.00023160
-313.10000241	-0.00045796
-313.06666908	-0.00039449
-313.03333574	0.00041548
-313.00000241	0.00072476
-312.96666908	-0.00120660
-312.93333574	-0.00067717
-312.90000241	-0.00022974
-312.86666907	-0.00024401
-312.83333574	0.00029691
-312.80000241	-0.00018731
-312.76666907	-0.00036999
-312.73333574	-0.00089322
-312.70000241	-0.00064948
-312.66666907	-0.00023889
-312.63333574	-0.00003874
-312.60000241	0.00018091
-312.56666907	-0.00055845
-312.53333574	0.00007613
-312.50000241	0.00006996
-312.46666907	-0.00048739
-312.43333574	-0.00008279
-312.40000241	-0.00084248
-312.36666907	0.00035427
-312.33333574	0.00045928
-312.30000240	-0.00013381
-312.26666907	-0.00081115
-312.23333574	-0.00076698
-312.20000240	0.00004361
-312.16666907	0.00000000
-312.13333574	-0.00114742
-312.10000240	0.00002773
-312.06666907	-0.00066770
-312.03333574	-0.00012621
-312.00000240	0.00021047
-311.96666907	-0.00044382
-311.93333574	-0.00036646
-311.90000240	-0.00068801
-311.86666907	-0.00026934
-311.83333574	-0.00077582
-311.80000240	-0.00079168
-311.76666907	-0.00011024
-311.73333573	0.00040857
-311.70000240	-0.00063800
-311.66666907	-0.00105735
-311.63333573	-0.00165301
-311.60000240	-0.00158573
-311.56666907	-0.00095347
-311.53333573	-0.00045576
-311.50000240	-0.00083246
-311.46666907	-0.00017200
-311.43333573	0.00073967
-311.40000240	-0.00129068
-311.36666907	-0.00081472
-311.33333573	-0.00059464
-311.30000240	0.00042254
-311.26666907	-0.00028350
-311.23333573	-0.00041452
-311.20000240	-0.00133403
-311.16666906	-0.00118099
-311.13333573	-0.00072545
-311.10000240	-0.00073406
-311.06666906	-0.00011162
-311.03333573	-0.00031414
-311.00000240	-0.00079710
-310.96666906	-0.00076021
-310.93333573	0.00050716
-310.90000240	0.00029186
-310.86666906	-0.00094915
-310.83333573	-0.00034682
-310.80000240	-0.00097903
-310.76666906	0.00048979
-310.73333573	-0.00042741
-310.70000239	-0.00014168
-310.66666906	-0.00053306
-310.63333573	-0.00068920
-310.60000239	-0.00070005
-310.56666906	-0.00038608
-310.53333573	-0.00055793
-310.50000239	-0.00001540
-310.46666906	0.00051947
-310.43333573	-0.00066439
-310.40000239	-0.00022533
-310.36666906	0.00009760
-310.33333573	0.00040784
-310.30000239	0.00011979
-310.26666906	-0.00075439
-310.23333573	0.00046449
-310.20000239	-0.00140508
-310.16666906	-0.00023767
-310.13333572	-0.00022802
-310.10000239	-0.00089456
-310.06666906	-0.00018843
-310.03333572	-0.00019466
-310.00000239	0.00020267
-309.96666906	0.00105006
-309.93333572	0.00036816
-309.90000239	-0.00012710
-309.86666906	0.00041411
-309.83333572	-0.00086069
-309.80000239	-0.00018318
-309.76666906	-0.00040268
-309.73333572	0.00005315
-309.70000239	-0.00026915
-309.66666906	0.00027620
-309.63333572	-0.00039998
-309.60000239	0.00011990
-309.56666905	0.00052135
-309.53333572	0.00016740
-309.50000239	0.00034446
-309.46666905	-0.00035801
-309.43333572	0.00080390
-309.40000239	-0.00014392
-309.36666905	0.00120155
-309.33333572	0.00038602
-309.30000239	-0.00053563
-309.26666905	0.00009479
-309.23333572	-0.00101339
-309.20000239	0.00022330
-309.16666905	-0.00086382
-309.13333572	-0.00026602
-309.10000239	-0.00027387
-309.06666905	-0.00052404
-309.03333572	-0.00125504
-309.00000238	-0.00155915
-308.96666905	-0.00380730
-308.93333572	-0.00497425
-308.90000238	-0.00451964
-308.86666905	-0.00534455
-308.83333572	-0.00549720
-308.80000238	-0.00571981
-308.76666905	-0.00664844
-308.73333572	-0.00609607
-308.70000238	-0.00526608
-308.66666905	-0.00599167
-308.63333572	-0.00611486
-308.60000238	-0.00551798
-308.56666905	-0.00443014
-308.53333572	-0.00504067
-308.50000238	-0.00439097
-308.46666905	-0.00392787
-308.43333571	-0.00294207
-308.40000238	-0.00269716
-308.36666905	-0.00265658
-308.33333571	-0.00034686
-308.30000238	0.00016723
-308.26666905	0.00029802
-308.23333571	0.00122182
-308.20000238	0.00199376
-308.16666905	0.00226116
-308.13333571	0.00309870
-308.10000238	0.00396237
-308.06666905	0.00321825
-308.03333571	0.00366057
-308.00000238	0.00338312
-307.96666904	0.00415645
-307.93333571	0.00342541
-307.90000238	0.00299195
-307.86666904	0.00264025
-307.83333571	0.00247934
-307.80000238	0.00266455
-307.76666904	0.00233464
-307.73333571	0.00194495
-307.70000238	0.00120269
-307.66666904	0.00133450
-307.63333571	0.00061554
-307.60000238	-0.00006703
-307.56666904	-0.00018700
-307.53333571	0.00042182
-307.50000238	-0.00018579
-307.46666904	-0.00025848
-307.43333571	-0.00065698
-307.40000237	-0.00025877
-307.36666904	-0.00034974
-307.33333571	0.00001836
-307.30000237	0.00032459
-307.26666904	-0.00003310
-307.23333571	-0.00046416
-307.20000237	-0.00082704
-307.16666904	0.00033417
-307.13333571	-0.00010336
-307.10000237	0.00011782
-307.06666904	0.00039920
-307.03333571	0.00027706
-307.00000237	0.00126785
-306.96666904	0.00020863
-306.93333571	-0.00053001
-306.90000237	-0.00052105
-306.86666904	0.00003129
-306.83333570	0.00029283
-306.80000237	0.00064780
-306.76666904	0.00075724
-306.73333570	0.00115260
-306.70000237	0.00031855
-306.66666904	-0.00000614
-306.63333570	0.00123134
-306.60000237	-0.00062423
-306.56666904	0.00096373
-306.53333570	-0.00009744
-306.50000237	-0.00021467
-306.46666904	0.00038279
-306.43333570	-0.00011922
-306.40000237	-0.00072860
-306.36666904	-0.00020530
-306.33333570	-0.00103815
-306.30000237	-0.00043600
-306.26666903	-0.00063705
-306.23333570	0.00034487
-306.20000237	-0.00002016
-306.16666903	-0.00010028
-306.13333570	0.00002938
-306.10000237	0.00042763
-306.06666903	-0.00067981
-306.03333570	-0.00049209
-306.00000237	0.00044138
-305.96666903	0.00011188
-305.93333570	0.00054924
-305.90000237	0.00023853
-305.86666903	0.00152987
-305.83333570	0.00065125
-305.80000236	0.00080341
-305.76666903	0.00056009
-305.73333570	0.00044311
-305.70000236	0.00002396
-305.66666903	-0.00048585
-305.63333570	-0.00059926
-305.60000236	-0.00026153
-305.56666903	-0.00001898
-305.53333570	-0.00017019
-305.50000236	-0.00016174
-305.46666903	0.00047161
-305.43333570	0.00068202
-305.40000236	0.00085495
-305.36666903	0.00105222
-305.33333570	0.00170039
-305.30000236	0.00136912
-305.26666903	0.00160009
-305.23333569	0.00135290
-305.20000236	0.00111663
-305.16666903	0.00161379
-305.13333569	0.00067181
-305.10000236	0.00195009
-305.06666903	0.00225117
-305.03333569	0.00161422
-305.00000236	0.00196437
-304.96666903	0.00208926
-304.93333569	0.00192155
-304.90000236	0.00206826
-304.86666903	0.00199776
-304.83333569	0.00211868
-304.80000236	0.00228649
-304.76666903	0.00233248
-304.73333569	0.00306943
-304.70000236	0.00301067
-304.66666902	0.00262644
-304.63333569	0.00325090
-304.60000236	0.00256181
-304.56666902	0.00223112
-304.53333569	0.00183529
-304.50000236	0.00104104
-304.46666902	0.00059808
-304.43333569	-0.00041784
-304.40000236	-0.00156033
-304.36666902	-0.00284338
-304.33333569	-0.00458001
-304.30000236	-0.00577302
-304.26666902	-0.00871747
-304.23333569	-0.01040809
-304.20000236	-0.01314321
-304.16666902	-0.01538320
-304.13333569	-0.01739056
-304.10000235	-0.01880862
-304.06666902	-0.01950151
-304.03333569	-0.01681465
-304.00000235	-0.01641034
-303.96666902	-0.01330321
-303.93333569	-0.01026807
-303.90000235	-0.00515859
-303.86666902	-0.00073128
-303.83333569	0.00445861
