# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -320.00000000 ps, Average over 40 waveforms. Timestamp: 2021-08-03T15:33:19
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-312.56666895	-0.00040519
-312.53333562	-0.00048984
-312.50000229	-0.00056418
-312.46666895	-0.00056434
-312.43333562	-0.00039195
-312.40000229	-0.00077092
-312.36666895	-0.00065301
-312.33333562	-0.00060881
-312.30000229	-0.00088931
-312.26666895	-0.00055889
-312.23333562	-0.00072538
-312.20000228	-0.00044034
-312.16666895	-0.00074855
-312.13333562	-0.00074842
-312.10000228	-0.00046330
-312.06666895	-0.00106482
-312.03333562	-0.00051897
-312.00000228	-0.00063153
-311.96666895	-0.00102078
-311.93333562	-0.00101163
-311.90000228	-0.00106176
-311.86666895	-0.00099513
-311.83333562	-0.00087305
-311.80000228	-0.00071793
-311.76666895	-0.00099470
-311.73333562	-0.00105473
-311.70000228	-0.00073155
-311.66666895	-0.00086731
-311.63333561	-0.00085030
-311.60000228	-0.00091272
-311.56666895	-0.00075548
-311.53333561	-0.00070924
-311.50000228	-0.00075782
-311.46666895	-0.00072363
-311.43333561	-0.00048972
-311.40000228	-0.00078899
-311.36666895	-0.00060468
-311.33333561	-0.00059578
-311.30000228	-0.00085247
-311.26666895	-0.00085087
-311.23333561	-0.00082633
-311.20000228	-0.00071152
-311.16666895	-0.00059721
-311.13333561	-0.00056182
-311.10000228	-0.00058743
-311.06666894	-0.00070892
-311.03333561	-0.00060746
-311.00000228	-0.00052330
-310.96666894	-0.00008522
-310.93333561	-0.00054467
-310.90000228	-0.00043028
-310.86666894	-0.00054324
-310.83333561	-0.00053292
-310.80000228	-0.00042337
-310.76666894	-0.00036621
-310.73333561	-0.00061777
-310.70000228	-0.00062621
-310.66666894	-0.00039042
-310.63333561	-0.00049752
-310.60000228	-0.00019298
-310.56666894	-0.00007769
-310.53333561	-0.00012134
-310.50000227	-0.00041670
-310.46666894	-0.00011501
-310.43333561	-0.00045969
-310.40000227	-0.00066055
-310.36666894	-0.00033260
-310.33333561	-0.00030856
-310.30000227	-0.00021431
-310.26666894	-0.00025920
-310.23333561	-0.00067079
-310.20000227	-0.00014486
-310.16666894	-0.00052175
-310.13333561	-0.00009656
-310.10000227	-0.00016861
-310.06666894	-0.00021546
-310.03333561	-0.00024122
-310.00000227	0.00000149
-309.96666894	0.00012470
-309.93333560	0.00022632
-309.90000227	-0.00002982
-309.86666894	-0.00005341
-309.83333560	-0.00020024
-309.80000227	-0.00015072
-309.76666894	0.00005526
-309.73333560	0.00015145
