# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -320.00000000 ps, Average over 1 waveforms. Timestamp: 2021-08-18T14:34:56
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-320.00000120	-0.00029877
-319.96666787	0.00058796
-319.93333453	0.00069882
-319.90000120	0.00185946
-319.86666787	-0.00027119
-319.83333453	0.00009562
-319.80000120	-0.00060706
-319.76666787	-0.00118611
-319.73333453	0.00050100
-319.70000120	-0.00069674
-319.66666787	0.00001880
-319.63333453	-0.00111043
-319.60000120	-0.00062431
-319.56666787	-0.00080155
-319.53333453	0.00057382
-319.50000120	0.00016886
-319.46666787	-0.00061700
-319.43333453	-0.00102490
-319.40000120	-0.00090557
-319.36666787	0.00026374
-319.33333453	-0.00053075
-319.30000120	-0.00060622
-319.26666787	-0.00051906
-319.23333453	0.00261766
-319.20000120	0.00142835
-319.16666787	-0.00141894
-319.13333453	0.00099480
-319.10000120	0.00162663
-319.06666786	-0.00021692
-319.03333453	0.00011892
-319.00000120	-0.00109724
-318.96666786	0.00062342
-318.93333453	0.00257042
-318.90000120	0.00090856
-318.86666786	0.00280893
-318.83333453	0.00066058
-318.80000120	0.00296273
-318.76666786	0.00130727
-318.73333453	0.00048823
-318.70000120	0.00274811
-318.66666786	0.00074721
-318.63333453	0.00086306
-318.60000120	0.00224626
-318.56666786	0.00048974
-318.53333453	0.00043600
-318.50000120	-0.00158003
-318.46666786	0.00069529
-318.43333453	0.00114962
-318.40000120	0.00074336
-318.36666786	0.00066204
-318.33333453	0.00015779
-318.30000120	-0.00054981
-318.26666786	-0.00158872
-318.23333453	-0.00003022
-318.20000120	0.00074159
-318.16666786	0.00042126
-318.13333453	0.00050194
-318.10000120	-0.00005463
-318.06666786	-0.00064308
-318.03333453	-0.00082976
-318.00000119	0.00154682
-317.96666786	-0.00076739
-317.93333453	0.00063192
-317.90000119	0.00177904
-317.86666786	-0.00147740
-317.83333453	-0.00053276
-317.80000119	-0.00156211
-317.76666786	-0.00334482
-317.73333453	-0.00240713
-317.70000119	-0.00120012
-317.66666786	-0.00117927
-317.63333453	-0.00094116
-317.60000119	-0.00069804
-317.56666786	0.00001510
